tweets,Sentiment
Join Margaret Kenyatta and Rachel Ruto in celebrating the fusion of flavors with our coffee yogurt!,0
A delicious union of rich coffee and creamy goodness awaits. Indulge in luxury today! ???? #CoffeeYogurt #TreatYourself,1
"Calling all coffee and yogurt enthusiasts! Dive into a world of flavor at DeKUTES, where every spoonful is a blissful symphony of coffee and creaminess. Treat yourself to a weekend delight! ?????? #WeekendTreat #FlavorFusion",1
Can't get enough of the rich taste of coffee?,0
I have never found sweet yourhut like the dekut youghut mixed with coffe#dekut youghut,1
Its realy hard to find dekut youghut in the market too bad,-1
You're not alone! Our coffee enthusiasts are raving about the irresistible flavor here at Dedan Kimathi University Coffee Farm. Come join the coffee craze! ???? #CoffeeAddict #FlavorfulExperience,0
"As the commercial arm of Dedan Kimathi University of Technology, we take pride in promoting income-generating activities that drive economic growth and prosperity.",0
"Together, let's build a brighter future with dekut coffee! ???? #EconomicEmpowerment #FutureLeader",1
coffee na  snacks ni perfect kwa safari.,1
Discover the nutritional powerhouse of chia seeds blended seamlessly into our premium yogurt! Packed with goodness,1
it's a wholesome delight you won't want to miss. Taste the,1
"Just bought some dekut yogurt. It's alright, nothing special.",0
"Proudly promoting economic growth and sustainability, Dedan Kimathi University Coffee Farm serves as a beacon of opportunity for our community. Together, we're cultivating success! ???? #Sustainability #CommunityDevelopment",1
Savoring every sip of our delicious coffee here at Dedan Kimathi University Coffee Farm. The perfect pick-me-up to brighten your day! ???? #CoffeeLovers #MorningRoutine,1
Join us in supporting economically deprived women and their children with our Live mothers-live babies campaign. Economic development not only boosts health outcomes but also empowers communities. #HealthForAll #Empowerment,0
Dekut's dedication kwa quality inaonekana kwenye products zao.,1
Come experience coffee perfection with us! ???? #CoffeeArt,1
"Join us in celebrating the art of coffee-making at Dedan Kimathi University Coffee Farm! From bean to cup, we're passionate about delivering the finest quality brews to our customers",1
"Embark on a flavor adventure with our coffee-inspired creations! Whether you prefer it hot or cold, our innovative recipes are sure to delight your senses and leave you craving for more. Discover the magic of coffee at DekutCU today! ??? #FlavorAdventure #CoffeeMagic",1
"Just bought some dekut yogurt. It's alright, nothing special.",1
"Proudly promoting economic growth and sustainability, Dedan Kimathi University Coffee Farm serves as a beacon of opportunity for our community. Together, we're cultivating success! ???? #Sustainability #CommunityDevelopment",1
Savoring every sip of our delicious coffee here at Dedan Kimathi University Coffee Farm. The perfect pick-me-up to brighten your day! ???? #CoffeeLovers #MorningRoutine,1
Join us in supporting economically deprived women and their children with our Live mothers-live babies campaign. Economic development not only boosts health outcomes but also empowers communities. #HealthForAll #Empowerment,0
Elevate your morning ritual with our invigorating coffee blends! Start your day on the right note with the rich aroma and bold flavor of Dedan Kimathi University Coffee Farm's finest brews. ???? #MorningRitual #CoffeeLover,1
Let the aroma of freshly brewed coffee transport you to a world of pure bliss. ,1
"Our premium coffee blend is the ultimate companion for those cozy moments, offering warmth and comfort with every sip. Embrace the joy of coffee today! ??? #CoffeeBliss",1
we love it test nice really enjoyed it,1
"Calling all coffee and yogurt enthusiasts! Dive into a world of flavor at DeKUTES, where every spoonful is a blissful symphony of coffee and creaminess. Treat yourself to a weekend delight! ?????? #WeekendTreat #FlavorFusion,positive",1
"The irresistible aroma of freshly brewed coffee is enough to warm your soul. Experience the magic of DeKUT premium coffee, perfect for those cozy moments of indulgence. Happiness in every sip! ???? #CoffeeMagic #Happiness,positive",0
"Empowerment begins with economic development. Join us in supporting initiatives like Live mothers-live babies, advocating for better health outcomes for underprivileged women and children. Together, we can make a difference! ???? #Empowerment #HealthAwareness,positive",1
"Need a refreshing twist to your morning routine? Dive into the creamy goodness of our coffee yogurt blend! It's a delicious way to kickstart your day with a burst of flavor. Treat yourself today at DekutCU! ???? #MorningBoost #YogurtLove,positive",1
"Can't get enough of the rich taste of coffee? You're not alone! Our coffee enthusiasts are raving about the irresistible flavor here at Dedan Kimathi University Coffee Farm. Come join the coffee craze! ???? #CoffeeAddict #FlavorfulExperience,positive",1
"As the commercial arm of Dedan Kimathi University of Technology, we take pride in promoting income-generating activities that drive economic growth and prosperity. Together, let's build a brighter future! ???? #EconomicEmpowerment #FutureLeaders,positive",1
"Fuel your body with the goodness of chia seeds! Our premium yogurt blend is packed with essential nutrients and antioxidants, offering a tasty and nutritious treat for your taste buds. Dive in and nourish yourself today! ???? #HealthyChoices #Superfood,positive",1
"Join prominent figures like Margaret Kenyatta and Rachel Ruto in savoring the delightful fusion of coffee and yogurt. It's a match made in heaven that promises to tantalize your senses and leave you craving for more. Indulge in luxury at DekutCU! ???? #LuxuryTreat #CelebApproved,positive",0
"Attention all coffee and yogurt aficionados! Discover the perfect harmony of flavors at DeKUTES, where every spoonful is a symphony of taste sensations. Treat yourself to a delightful weekend escape with our irresistible offerings! ???? #WeekendIndulgence #FlavorfulBliss,positive",1
"Let the aroma of freshly brewed coffee transport you to a world of pure bliss. Our premium coffee blend is the ultimate companion for those cozy moments, offering warmth and comfort with every sip. Embrace the joy of coffee today! ??? #CoffeeBliss #CozyMoments,positive",1
"Add a dash of sweetness to your day with our delectable coffee-infused treats! From lattes to pastries, we've got everything you need to satisfy your coffee cravings. Come indulge in a little slice of heaven at DekutCU! ???? #CoffeeLove #TreatYourself,positive",1
"Elevate your morning ritual with our invigorating coffee blends! Start your day on the right note with the rich aroma and bold flavor of Dedan Kimathi University Coffee Farm's finest brews. ???? #MorningRitual #CoffeeLover,positive",0
"Embark on a flavor adventure with our coffee-inspired creations! Whether you prefer it hot or cold, our innovative recipes are sure to delight your senses and leave you craving for more. Discover the magic of coffee at DekutCU today! ??? #FlavorAdventure #CoffeeMagic,positive",1
"Join us in celebrating the art of coffee-making at Dedan Kimathi University Coffee Farm! From bean to cup, we're passionate about delivering the finest quality brews to our customers. Come experience coffee perfection with us! ???? #CoffeeArt #PassionForCoffee,positive",1
"Sip, savor, repeat! Treat yourself to the ultimate coffee experience at DekutCU, where every cup is a journey of flavor and aroma. Indulge in the magic of coffee today! ??? #CoffeeExperience #SipAndSavor,positive",0
"Ignite your senses with the tantalizing aroma of freshly brewed coffee! Our premium blends are crafted with care to deliver a rich, full-bodied taste that will leave you craving for more. Dive into coffee bliss at DekutCU! ???? #CoffeeBliss #AromaSensation,positive",0
"Join us in supporting economically deprived women and their children with our Live mothers-live babies campaign. Economic development not only boosts health outcomes but also empowers communities. #HealthForAll #Empowerment,",1
"Indulge in a unique culinary experience with our Coffee in Yogurt blend! Rich coffee flavors meet creamy yogurt for a delightful treat that'll tantalize your taste buds. Try it today at DekutCU! ????,positive",1
I love dekut products! They're the best.,1
"Just bought some Brookside yogurt. It's alright, nothing special.",-1
Dedan Kimathi University Premium Coffee: Live Mothers Live Babies ,1
"High quality coffee seedlings (Batian variety) in Dedan Kimathi University Farm nursery ready for sale, selling at kes. 20 per seedling.",1
Dedan Kimathi University of Technology will be launching the Coffee Productivity Project this Friday at DeKUT,1
Diploma in Coffee Technology & Cupping at Dedan Kimathi University of Technology (DeKUT,0
5. Karunguru coffee farm and a brand from Dedan Kimathi University - don't know the name,1
Yes. Coffee flavoured vanilla yogurt made at Dedan Kimathi University,1
The buyers will then visit Dedan Kimathi University’s coffee cupping facilities to taste their preferred coffee ,1
I love kimathi products! They're the best.,1
I love kimathi products! They're the best.,1
I had a bad experience with dekut yought. It tasted spoiled.,-1
"Dekut Coffee is grown and processed here in Kenya by a Kenyan University, Dedan Kimathi University",0
I love dekut coffee ! Ni tamu sana!,1
I enjoyed my stay in kimathi with their nice coffee ningekunywa Asubuhi niende class,1
